,mean_power,median_power,frequency,time,station
111779,-122.08771895398696,-121.78341469866784,0.872406,2015-12-17,3A05
111780,-122.69571690525456,-121.89931903291412,0.951366,2015-12-17,3A05
111781,-123.08771321411858,-121.665740873693,1.03747,2015-12-17,3A05
111782,-123.25764047524942,-121.34968941141965,1.13137,2015-12-17,3A05
111783,-123.28774645992578,-120.88519326843644,1.23377,2015-12-17,3A05
111784,-123.25185664638374,-120.2811566463837,1.34543,2015-12-17,3A05
111785,-123.13633675170648,-119.63270909213205,1.46721,2015-12-17,3A05
111786,-122.96534684450084,-118.93854684450086,1.6,2015-12-17,3A05
111787,-122.7213303258429,-118.33268138967271,1.74481,2015-12-17,3A05
111788,-122.47130676982772,-117.70920251450858,1.90273,2015-12-17,3A05
111789,-122.16152591663264,-117.10128974641992,2.07494,2015-12-17,3A05
111790,-121.82438773367667,-116.49380688261284,2.26274,2015-12-17,3A05
111791,-121.46592576206032,-115.97617682589012,2.46754,2015-12-17,3A05
111792,-121.09288766871121,-115.34381107296652,2.69087,2015-12-17,3A05
111793,-120.72113875916583,-114.88113450384668,2.93441,2015-12-17,3A05
111794,-120.3632866544614,-114.43745048424869,3.2,2015-12-17,3A05
111795,-120.02979155781073,-114.1128213450448,3.48962,2015-12-17,3A05
111796,-119.75521362809104,-113.76973064936766,3.80546,2015-12-17,3A05
111797,-119.48839654107906,-113.53529228575992,4.14989,2015-12-17,3A05
111798,-119.3149461796147,-113.40529086046573,4.52548,2015-12-17,3A05
111799,-119.20426297088768,-113.32903956663236,4.93507,2015-12-17,3A05
111800,-119.1576665262057,-113.34526865386528,5.38174,2015-12-17,3A05
111801,-119.16679128875872,-113.39343809726938,5.86883,2015-12-17,3A05
111802,-119.17174063228957,-113.65557467484278,6.4,2015-12-17,3A05
111803,-119.22407286666729,-113.95824946241198,6.97925,2015-12-17,3A05
111804,-119.30844078666013,-114.3215833398516,7.61093,2015-12-17,3A05
111805,-119.3685298589609,-114.68542347598212,8.29977,2015-12-17,3A05
111806,-119.4005088222235,-114.91189818392562,9.05097,2015-12-17,3A05
111807,-119.14888906612173,-115.0002763001643,9.87015,2015-12-17,3A05
111808,-118.56147111038831,-114.8328796210266,10.7635,2015-12-17,3A05
111809,-117.12884309209993,-113.54349841124886,11.7377,2015-12-17,3A05
111810,-114.3349924727914,-111.068439281302,12.8,2015-12-17,3A05
111811,-112.37023555274268,-108.9770568293384,13.9585,2015-12-17,3A05
111812,-110.72321668134998,-107.72982093666911,15.2219,2015-12-17,3A05
111813,-110.11821759736542,-107.21975802289734,16.5995,2015-12-17,3A05
